annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2019/2020,True,9235,Scienze e tecnologie agrarie,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9235,Bologna,Bologna,Scienze agro-alimentari,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9236,"Work, organizational and personnel psychology",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9236,Cesena,Cesena,Psicologia,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9237,International cooperation on human rights and intercultural heritage,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9237,Ravenna,Ravenna,"Studi umanistici, Scienze politiche",Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9238,Advanced automotive electronic engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9238,Bologna,"Bologna, Modena",Ingegneria e architettura,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,9239,Advanced automotive engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9239,Bologna,"Modena, Bologna",Ingegneria e architettura,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,False,9241,Percorso formativo - 24 cfu,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9241,Bologna,,,,1,False,,,,libero
2019/2020,True,9242,Giurista per le imprese e per la pubblica amministrazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9242,Ravenna,Ravenna,Giurisprudenza,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,9243,Ingegneria biomedica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9243,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9244,Fisica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9244,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9245,Physics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9245,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9246,Low carbon technologies and sustainable chemistry,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9246,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9247,Scienze internazionali e diplomatiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9247,Forlì,Forlì,Scienze politiche,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,9249,Offshore engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9249,Ravenna,Ravenna,Ingegneria e architettura,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9250,Ingegneria meccatronica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9250,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9254,Ingegneria informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9254,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9255,Ingegneria dell'energia elettrica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9255,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9256,Advanced design,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9256,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9257,Scienze e gestione della natura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9257,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
